Mittari;Aika;val
Testausmäärä;Vuosi 2021 Viikko 20;120996
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 20;13
Tapausten lukumäärä;Vuosi 2021 Viikko 21;889
Testausmäärä;Vuosi 2021 Viikko 21;122759
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 21;3
Tapausten lukumäärä;Vuosi 2021 Viikko 22;728
Testausmäärä;Vuosi 2021 Viikko 22;112544
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 22;2
Tapausten lukumäärä;Vuosi 2021 Viikko 23;558
Testausmäärä;Vuosi 2021 Viikko 23;99751
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 23;3
Tapausten lukumäärä;Vuosi 2021 Viikko 24;542
Testausmäärä;Vuosi 2021 Viikko 24;95330
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 24;2
Tapausten lukumäärä;Vuosi 2021 Viikko 25;971
Testausmäärä;Vuosi 2021 Viikko 25;70248
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 25;2
Tapausten lukumäärä;Vuosi 2021 Viikko 26;1295
Testausmäärä;Vuosi 2021 Viikko 26;100468
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 26;0
Tapausten lukumäärä;Vuosi 2021 Viikko 27;1697
Testausmäärä;Vuosi 2021 Viikko 27;97366
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 27;4
Tapausten lukumäärä;Vuosi 2021 Viikko 28;2245
Testausmäärä;Vuosi 2021 Viikko 28;99612
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 28;3
Tapausten lukumäärä;Vuosi 2021 Viikko 29;2926
Testausmäärä;Vuosi 2021 Viikko 29;120697
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 29;6
Tapausten lukumäärä;Vuosi 2021 Viikko 30;4660
Testausmäärä;Vuosi 2021 Viikko 30;125165
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 30;9
Tapausten lukumäärä;Vuosi 2021 Viikko 31;5098
Testausmäärä;Vuosi 2021 Viikko 31;141707
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 31;17
Tapausten lukumäärä;Vuosi 2021 Viikko 32;5186
Testausmäärä;Vuosi 2021 Viikko 32;146289
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 32;8
Tapausten lukumäärä;Vuosi 2021 Viikko 33;4393
Testausmäärä;Vuosi 2021 Viikko 33;163609
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 33;9
Tapausten lukumäärä;Vuosi 2021 Viikko 34;4207
Testausmäärä;Vuosi 2021 Viikko 34;180773
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 34;11
Tapausten lukumäärä;Vuosi 2021 Viikko 35;3893
Testausmäärä;Vuosi 2021 Viikko 35;176345
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 35;12
Tapausten lukumäärä;Vuosi 2021 Viikko 36;3151
Testausmäärä;Vuosi 2021 Viikko 36;136187
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 36;18
Tapausten lukumäärä;Vuosi 2021 Viikko 37;2818
Testausmäärä;Vuosi 2021 Viikko 37;99157
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 37;11
Tapausten lukumäärä;Vuosi 2021 Viikko 38;3017
Testausmäärä;Vuosi 2021 Viikko 38;88029
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 38;15
Tapausten lukumäärä;Vuosi 2021 Viikko 39;3888
Testausmäärä;Vuosi 2021 Viikko 39;80325
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 39;27
Tapausten lukumäärä;Vuosi 2021 Viikko 40;4251
Testausmäärä;Vuosi 2021 Viikko 40;81679
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 40;32
Tapausten lukumäärä;Vuosi 2021 Viikko 41;3727
Testausmäärä;Vuosi 2021 Viikko 41;83130
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 41;22
Tapausten lukumäärä;Vuosi 2021 Viikko 42;3698
Testausmäärä;Vuosi 2021 Viikko 42;77595
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 42;25
Tapausten lukumäärä;Vuosi 2021 Viikko 43;4209
Testausmäärä;Vuosi 2021 Viikko 43;80829
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 43;37
Tapausten lukumäärä;Vuosi 2021 Viikko 44;5162
Testausmäärä;Vuosi 2021 Viikko 44;87914
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 44;55
Tapausten lukumäärä;Vuosi 2021 Viikko 45;5998
Testausmäärä;Vuosi 2021 Viikko 45;102632
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 45;45
Tapausten lukumäärä;Vuosi 2021 Viikko 46;7496
Testausmäärä;Vuosi 2021 Viikko 46;118508
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 46;55
Tapausten lukumäärä;Vuosi 2021 Viikko 47;8179
Testausmäärä;Vuosi 2021 Viikko 47;132055
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 47;59
Tapausten lukumäärä;Vuosi 2021 Viikko 48;9547
Testausmäärä;Vuosi 2021 Viikko 48;156077
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 48;57
Tapausten lukumäärä;Vuosi 2021 Viikko 49;10644
Testausmäärä;Vuosi 2021 Viikko 49;153959
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 49;44
Tapausten lukumäärä;Vuosi 2021 Viikko 50;13823
Testausmäärä;Vuosi 2021 Viikko 50;173821
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 50;44
Tapausten lukumäärä;Vuosi 2021 Viikko 51;21908
Testausmäärä;Vuosi 2021 Viikko 51;168698
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 51;53
Tapausten lukumäärä;Vuosi 2021 Viikko 52;44078
Testausmäärä;Vuosi 2021 Viikko 52;172451
Kuolemantapausten lukumäärä;Vuosi 2021 Viikko 52;107
Tapausten lukumäärä;Vuosi 2022 Viikko 01;58974
Testausmäärä;Vuosi 2022 Viikko 01;201119
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 01;128
Tapausten lukumäärä;Vuosi 2022 Viikko 02;59937
Testausmäärä;Vuosi 2022 Viikko 02;194409
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 02;139
Tapausten lukumäärä;Vuosi 2022 Viikko 03;56195
Testausmäärä;Vuosi 2022 Viikko 03;176609
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 03;112
Tapausten lukumäärä;Vuosi 2022 Viikko 04;47718
Testausmäärä;Vuosi 2022 Viikko 04;145492
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 04;121
Tapausten lukumäärä;Vuosi 2022 Viikko 05;44267
Testausmäärä;Vuosi 2022 Viikko 05;126260
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 05;146
Tapausten lukumäärä;Vuosi 2022 Viikko 06;45220
Testausmäärä;Vuosi 2022 Viikko 06;124211
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 06;113
Tapausten lukumäärä;Vuosi 2022 Viikko 07;42408
Testausmäärä;Vuosi 2022 Viikko 07;117275
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 07;122
Tapausten lukumäärä;Vuosi 2022 Viikko 08;41497
Testausmäärä;Vuosi 2022 Viikko 08;107346
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 08;111
Tapausten lukumäärä;Vuosi 2022 Viikko 09;38009
Testausmäärä;Vuosi 2022 Viikko 09;97551
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 09;79
Tapausten lukumäärä;Vuosi 2022 Viikko 10;46854
Testausmäärä;Vuosi 2022 Viikko 10;104695
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 10;37
Tapausten lukumäärä;Vuosi 2022 Viikko 11;44176
Testausmäärä;Vuosi 2022 Viikko 11;105306
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 11;2
Tapausten lukumäärä;Vuosi 2022 Viikko 12;8
Testausmäärä;Vuosi 2022 Viikko 12;424
Kuolemantapausten lukumäärä;Vuosi 2022 Viikko 12;0
Tapausten lukumäärä;Kaikki ajat;812224
Testausmäärä;Kaikki ajat;10280450
Kuolemantapausten lukumäärä;Kaikki ajat;2881
