"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"0 - 4 Yhteensä Kuolleet";"5 - 9 Yhteensä Kuolleet";"10 - 14 Yhteensä Kuolleet";"15 - 19 Yhteensä Kuolleet";"20 - 24 Yhteensä Kuolleet";"25 - 29 Yhteensä Kuolleet";"30 - 34 Yhteensä Kuolleet";"35 - 39 Yhteensä Kuolleet";"40 - 44 Yhteensä Kuolleet";"45 - 49 Yhteensä Kuolleet";"50 - 54 Yhteensä Kuolleet";"55 - 59 Yhteensä Kuolleet";"60 - 64 Yhteensä Kuolleet";"65 - 69 Yhteensä Kuolleet";"70 - 74 Yhteensä Kuolleet";"75 - 79 Yhteensä Kuolleet";"80 - 84 Yhteensä Kuolleet";"85 - 89 Yhteensä Kuolleet";"90 - Yhteensä Kuolleet"
"KOKO MAA";"1991W50";989;7;0;0;3;6;6;9;10;18;14;25;41;75;102;106;156;181;146;84
"KOKO MAA";"1991W51";978;9;1;0;2;1;6;7;9;20;25;33;44;89;106;116;138;172;125;75
"KOKO MAA";"1991W52";1042;7;0;0;4;10;4;3;13;24;23;37;44;83;110;100;161;188;161;70
"KOKO MAA";"1992W01";943;3;0;1;5;9;7;8;17;18;27;33;32;52;80;121;148;183;120;79
"KOKO MAA";"1992W02";1100;5;2;0;5;6;9;9;10;30;29;34;46;69;102;129;185;187;142;101
"KOKO MAA";"1992W03";1045;8;0;0;3;6;9;8;12;28;27;21;45;92;101;119;166;196;127;77
"KOKO MAA";"1992W04";1067;4;1;0;2;4;8;9;14;22;19;32;30;81;101;135;173;200;149;83
"KOKO MAA";"1992W05";1058;6;0;0;3;8;4;10;16;26;23;30;35;69;90;130;192;188;146;82
"KOKO MAA";"1992W06";1158;9;3;3;3;10;7;10;20;20;29;46;47;64;112;128;175;235;146;91
"KOKO MAA";"1992W07";1112;7;0;0;5;7;5;3;14;18;33;46;42;66;114;116;191;229;136;80
"KOKO MAA";"1992W08";1079;4;1;0;3;8;10;6;16;25;23;30;43;76;96;112;174;213;155;84
"KOKO MAA";"1992W09";1034;8;0;4;5;5;7;10;27;31;29;31;33;77;88;108;166;193;134;78
"KOKO MAA";"1992W10";981;10;2;1;3;6;6;6;11;20;32;26;38;53;103;121;139;201;141;62
"KOKO MAA";"1992W11";894;19;2;0;3;2;7;7;19;23;19;27;47;68;74;102;121;165;119;70
"KOKO MAA";"1992W12";913;13;0;0;4;8;9;10;9;21;26;30;45;78;82;113;129;161;102;73
"KOKO MAA";"1992W13";983;11;0;1;1;8;5;7;20;30;36;34;36;55;98;108;167;151;145;70
