group;week;zscore
45to64;2017-46;2.98
45to64;2017-47;1.34
45to64;2017-48;1.97
45to64;2017-49;2.68
45to64;2017-50;4.48
45to64;2017-51;5.06
45to64;2017-52;7.71
45to64;2018-01;9.15
45to64;2018-02;5.69
45to64;2018-03;6.5
45to64;2018-04;4.54
45to64;2018-05;5.35
45to64;2018-06;4.69
45to64;2018-07;7.63
45to64;2018-08;9.77
45to64;2018-09;12.12
45to64;2018-10;11.69
45to64;2018-11;8.55
45to64;2018-12;6.74
45to64;2018-13;3.19
45to64;2018-14;5.79
45to64;2018-15;4.17
45to64;2018-16;1.06
45to64;2018-17;-0.29
45to64;2018-18;-0.23
45to64;2018-19;-0.89
45to64;2018-20;0.17
45to64;2018-21;-0.13
45to64;2018-22;0.24
45to64;2018-23;0.22
45to64;2018-24;-0.36
45to64;2018-25;0.01
45to64;2018-26;1.41
45to64;2018-27;1.01
45to64;2018-28;-0.18
45to64;2018-29;1.4
45to64;2018-30;3.24
45to64;2018-31;4.85
45to64;2018-32;2.69
45to64;2018-33;-0.61
45to64;2018-34;-0.75
45to64;2018-35;-0.17
45to64;2018-36;0.09
45to64;2018-37;-1.34
45to64;2018-38;-0.19
45to64;2018-39;0.45
45to64;2018-40;1.61
45to64;2018-41;-0.46
45to64;2018-42;-1.48
45to64;2018-43;-0.47
45to64;2018-44;-0.06
45to64;2018-45;0.82
45to64;2018-46;0.52
45to64;2018-47;0.21
45to64;2018-48;1.47
45to64;2018-49;1.68
45to64;2018-50;1.15
45to64;2018-51;4.15
45to64;2018-52;2.59
45to64;2019-01;5.89
45to64;2019-02;6.07
45to64;2019-03;5.08
45to64;2019-04;6.84
45to64;2019-05;7.68
45to64;2019-06;6.16
45to64;2019-07;6.79
45to64;2019-08;3.81
45to64;2019-09;5.38
45to64;2019-10;4.15
45to64;2019-11;0.89
45to64;2019-12;0.52
45to64;2019-13;-0.75
45to64;2019-14;0.11
45to64;2019-15;-1.52
45to64;2019-16;0.58
45to64;2019-17;0.63
45to64;2019-18;-1.36
45to64;2019-19;-1
45to64;2019-20;-0.37
45to64;2019-21;-1.15
45to64;2019-22;-0.35
45to64;2019-23;-0.33
45to64;2019-24;0.68
45to64;2019-25;1.19
45to64;2019-26;2.4
45to64;2019-27;2.75
45to64;2019-28;-2.13
45to64;2019-29;1.57
45to64;2019-30;2.33
45to64;2019-31;-0.66
45to64;2019-32;-1.29
45to64;2019-33;-3.65
45to64;2019-34;-2.21
45to64;2019-35;0.74
45to64;2019-36;-1.56
45to64;2019-37;-2.17
45to64;2019-38;0.23
45to64;2019-39;1.05
45to64;2019-40;0.02
45to64;2019-41;0.73
45to64;2019-42;-0.71
45to64;2019-43;-0.69
45to64;2019-44;-0.34
45to64;2019-45;2.42
45to64;2019-46;0.69
45to64;2019-47;-0.3
45to64;2019-48;0.6
45to64;2019-49;3.39
45to64;2019-50;2.05
45to64;2019-51;3.78
45to64;2019-52;0.76
45to64;2020-01;3.53
45to64;2020-02;4.19
45to64;2020-03;3.83
45to64;2020-04;1.53
45to64;2020-05;3.75
45to64;2020-06;2.6
45to64;2020-07;1.94
45to64;2020-08;0.85
45to64;2020-09;1.67
45to64;2020-10;2.14
45to64;2020-11;4.3
45to64;2020-12;8.86
45to64;2020-13;15.61
45to64;2020-14;21.81
45to64;2020-15;19.6
45to64;2020-16;12.5
45to64;2020-17;8.51
45to64;2020-18;3.7
45to64;2020-19;4
45to64;2020-20;2.14
45to64;2020-21;2.94
45to64;2020-22;2.42
45to64;2020-23;0.44
45to64;2020-24;0.55
45to64;2020-25;-1.28
45to64;2020-26;1.65
45to64;2020-27;0.44
45to64;2020-28;0.21
45to64;2020-29;0.57
45to64;2020-30;1.38
45to64;2020-31;3
45to64;2020-32;2.49
45to64;2020-33;6.67
45to64;2020-34;0.53
45to64;2020-35;-0.34
45to64;2020-36;0.67
45to64;2020-37;1.41
45to64;2020-38;2.58
45to64;2020-39;1.48
45to64;2020-40;3.07
45to64;2020-41;3.91
45to64;2020-42;3.97
45to64;2020-43;7.15
45to64;2020-44;7.5
45to64;2020-45;8.87
45to64;2020-46;10.44
45to64;2020-47;9.45
45to64;2020-48;12.18
45to64;2020-49;10.59
45to64;2020-50;12.49
