country;group;week;zscore
Belgium;Total;2018-06;1.81
Belgium;Total;2018-07;3.87
Belgium;Total;2018-08;4.61
Belgium;Total;2018-09;8.9
Belgium;Total;2018-10;8.91
Belgium;Total;2018-11;6.41
Belgium;Total;2018-12;5.18
Belgium;Total;2018-13;3.85
Belgium;Total;2018-14;1.3
Belgium;Total;2018-15;1.18
Belgium;Total;2018-16;-0.11
Belgium;Total;2018-17;-1.02
Belgium;Total;2018-18;-1.91
Belgium;Total;2018-19;0.1
Belgium;Total;2018-20;-1.14
Belgium;Total;2018-21;0.15
Belgium;Total;2018-22;0.4
Belgium;Total;2018-23;-1.64
Belgium;Total;2018-24;-2.28
Belgium;Total;2018-25;-1.2
Belgium;Total;2018-26;1.14
Belgium;Total;2018-27;2.82
Belgium;Total;2018-28;-0.23
Belgium;Total;2018-29;1.96
Belgium;Total;2018-30;3.43
Belgium;Total;2018-31;3.85
Belgium;Total;2018-32;2.65
Belgium;Total;2018-33;0.52
Belgium;Total;2018-34;-0.39
Belgium;Total;2018-35;-0.34
Belgium;Total;2018-36;0.48
Belgium;Total;2018-37;-1.05
Belgium;Total;2018-38;0.93
Belgium;Total;2018-39;-1.08
Belgium;Total;2018-40;0.28
Belgium;Total;2018-41;0.6
Belgium;Total;2018-42;-0.06
Belgium;Total;2018-43;-0.87
Belgium;Total;2018-44;-1.33
Belgium;Total;2018-45;0.38
Belgium;Total;2018-46;-0.45
Belgium;Total;2018-47;-0.11
Belgium;Total;2018-48;0.1
Belgium;Total;2018-49;0.75
Belgium;Total;2018-50;1.08
Belgium;Total;2018-51;1.34
Belgium;Total;2018-52;0.97
Belgium;Total;2019-01;1.33
Belgium;Total;2019-02;1.73
Belgium;Total;2019-03;1.24
Belgium;Total;2019-04;2.06
Belgium;Total;2019-05;2.06
Belgium;Total;2019-06;3.65
Belgium;Total;2019-07;2.45
Belgium;Total;2019-08;2.59
Belgium;Total;2019-09;2.67
Belgium;Total;2019-10;2.48
Belgium;Total;2019-11;1.96
Belgium;Total;2019-12;0.36
Belgium;Total;2019-13;-0.7
Belgium;Total;2019-14;1.13
Belgium;Total;2019-15;-1.14
Belgium;Total;2019-16;0.63
Belgium;Total;2019-17;0.16
Belgium;Total;2019-18;0.18
Belgium;Total;2019-19;0.48
Belgium;Total;2019-20;0.84
Belgium;Total;2019-21;0.72
Belgium;Total;2019-22;0.25
Belgium;Total;2019-23;0.81
Belgium;Total;2019-24;-0.58
Belgium;Total;2019-25;0.8
Belgium;Total;2019-26;1.67
Belgium;Total;2019-27;1.31
Belgium;Total;2019-28;-0.55
Belgium;Total;2019-29;0.66
Belgium;Total;2019-30;5.96
Belgium;Total;2019-31;1.15
Belgium;Total;2019-32;-0.71
