group;week;zscore
15to44;2019-44;-0.51
15to44;2019-45;-0.52
15to44;2019-46;0.17
15to44;2019-47;-0.12
15to44;2019-48;-0.71
15to44;2019-49;0.26
15to44;2019-50;0.28
15to44;2019-51;0
15to44;2019-52;-0.14
15to44;2020-01;3.6
15to44;2020-02;2.21
15to44;2020-03;0.63
15to44;2020-04;-0.55
15to44;2020-05;3.37
15to44;2020-06;-0.95
15to44;2020-07;1.54
15to44;2020-08;-0.2
15to44;2020-09;1.35
15to44;2020-10;1.54
15to44;2020-11;1.78
15to44;2020-12;0.78
15to44;2020-13;3.02
15to44;2020-14;3.02
15to44;2020-15;4.36
15to44;2020-16;1.7
15to44;2020-17;0.93
15to44;2020-18;-0.84
15to44;2020-19;-1.05
15to44;2020-20;1.67
15to44;2020-21;-0.66
15to44;2020-22;1.34
15to44;2020-23;-0.2
15to44;2020-24;0.98
15to44;2020-25;1
15to44;2020-26;1.04
15to44;2020-27;0.85
15to44;2020-28;-0.59
15to44;2020-29;-0.08
15to44;2020-30;0.27
15to44;2020-31;2.55
15to44;2020-32;2.71
15to44;2020-33;3.65
15to44;2020-34;1.02
15to44;2020-35;0.62
15to44;2020-36;1.46
15to44;2020-37;1.92
15to44;2020-38;2.02
15to44;2020-39;0.33
15to44;2020-40;0.32
15to44;2020-41;1.75
15to44;2020-42;-0.99
15to44;2020-43;2.85
15to44;2020-44;1.66
15to44;2020-45;0.33
15to44;2020-46;0.36
15to44;2020-47;1.3
15to44;2020-48;0.21
15to44;2020-49;4.52
15to44;2020-50;2.94
15to44;2020-51;0.37
15to44;2020-52;0.89
15to44;2020-53;3.26
15to44;2021-01;2.13
15to44;2021-02;2.36
15to44;2021-03;3.29
15to44;2021-04;2.95
15to44;2021-05;2.58
15to44;2021-06;-0.11
15to44;2021-07;-0.14
15to44;2021-08;-0.59
15to44;2021-09;-0.11
15to44;2021-10;-0.03
15to44;2021-11;0.64
15to44;2021-12;0.29
15to44;2021-13;2.71
15to44;2021-14;2.56
15to44;2021-15;2.59
15to44;2021-16;2.12
15to44;2021-17;1.52
15to44;2021-18;3.14
15to44;2021-19;0.47
15to44;2021-20;0.91
15to44;2021-21;0.3
15to44;2021-22;1.9
15to44;2021-23;0.52
15to44;2021-24;3.61
15to44;2021-25;2.27
15to44;2021-26;1.56
15to44;2021-27;2.82
15to44;2021-28;4.27
15to44;2021-29;4.89
15to44;2021-30;4.27
15to44;2021-31;2.22
15to44;2021-32;3.79
15to44;2021-33;2.37
15to44;2021-34;2.15
15to44;2021-35;3.09
15to44;2021-36;4.78
15to44;2021-37;4.35
15to44;2021-38;3.39
15to44;2021-39;3.57
15to44;2021-40;2.3
15to44;2021-41;1.76
15to44;2021-42;3.64
