"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-2701","2012-08-09","258.7309770456295"
"-2694","2012-08-16","293.94523977931203"
"-2687","2012-08-23","254.81438230868753"
"-2680","2012-08-30","189.23735986997485"
"-2673","2012-09-06","201.16014645017424"
"-2666","2012-09-13","230.59102025802815"
"-2659","2012-09-20","269.61495202299557"
"-2652","2012-09-27","260.4068873716202"
"-2645","2012-10-04","276.2437304780076"
"-2638","2012-10-11","267.5148549311227"
"-2631","2012-10-18","274.73098903570735"
"-2624","2012-10-25","209.5313462584869"
"-2617","2012-11-01","210.6888969074197"
"-2610","2012-11-08","238.11370402208627"
"-2603","2012-11-15","196.85427446889662"
"-2596","2012-11-22","81.09690497017812"
"-2589","2012-11-29","54.163031835340576"
"-2582","2012-12-06","32.50462208466399"
"-2575","2012-12-13","83.69767204275797"
"-2568","2012-12-20","60.433906918011985"
"-2561","2012-12-27","107.51080097854253"
"-2554","2013-01-03","177.82006230578293"
"-2547","2013-01-10","223.33474840026054"
"-2540","2013-01-17","246.095198806623"
"-2533","2013-01-24","183.19398812757038"
"-2526","2013-01-31","177.76011705886447"
"-2519","2013-02-07","170.9426701923927"
"-2512","2013-02-14","153.89417713923"
"-2505","2013-02-21","146.75391790553306"
"-2498","2013-02-28","212.63141434626675"
"-2491","2013-03-07","220.59034691103432"
"-2484","2013-03-14","247.63312981927209"
"-2477","2013-03-21","289.6863683455766"
"-2470","2013-03-28","314.58740919577156"
"-2463","2013-04-04","357.0721791933446"
"-2456","2013-04-11","411.7644889013226"
"-2449","2013-04-18","421.1669566448966"
"-2442","2013-04-25","377.65368498078976"
"-2435","2013-05-02","416.46479631894556"
"-2428","2013-05-09","454.7029075070262"
"-2421","2013-05-16","460.33159512753457"
"-2414","2013-05-23","413.17587443718014"
"-2407","2013-05-30","398.92468571565905"
"-2400","2013-06-06","346.1353527086487"
"-2393","2013-06-13","331.2399492688447"
"-2386","2013-06-20","305.553482633538"
"-2379","2013-06-27","305.28377542860574"
"-2372","2013-07-04","251.54290383905357"
"-2365","2013-07-11","219.36002679307853"
"-2358","2013-07-18","200.69542079802852"
"-2351","2013-07-25","176.4555175362217"
"-2344","2013-08-01","174.50872673122763"
"-2337","2013-08-08","208.70181534340577"
"-2330","2013-08-15","182.87660601424443"
"-2323","2013-08-22","149.88675297140173"
"-2316","2013-08-29","184.61435239972263"
"-2309","2013-09-05","187.98614659659984"
"-2302","2013-09-12","155.98908703057452"
"-2295","2013-09-19","138.68503062722766"
"-2288","2013-09-26","156.2243560840301"
"-2281","2013-10-03","145.85830258629915"
"-2274","2013-10-10","123.94985173523571"
"-2267","2013-10-17","148.98299454011658"
"-2260","2013-10-24","178.57024866615404"
"-2253","2013-10-31","172.45831643002418"
"-2246","2013-11-07","143.53180093075855"
"-2239","2013-11-14","19.81492580554061"
"-2232","2013-11-21","-64.52876699875378"
"-2225","2013-11-28","-116.1987377650521"
"-2218","2013-12-05","-158.76175494404106"
"-2211","2013-12-12","-152.65812480522618"
"-2204","2013-12-19","-168.20975522654658"
"-2197","2013-12-26","-162.6299374466987"
"-2190","2014-01-02","-162.03470467673696"
"-2183","2014-01-09","-226.45560357534214"
"-2176","2014-01-16","-257.8536940677168"
"-2169","2014-01-23","-334.1345751295253"
"-2162","2014-01-30","-331.1642192242998"
"-2155","2014-02-06","-299.7853862926074"
"-2148","2014-02-13","-379.83437971591684"
"-2141","2014-02-20","-508.1579016414639"
"-2134","2014-02-27","-560.6297635306162"
"-2127","2014-03-06","-635.1672098056215"
"-2120","2014-03-13","-715.7466179902274"
"-2113","2014-03-20","-800.4183476897531"
"-2106","2014-03-27","-813.3205230073113"
"-2099","2014-04-03","-800.6915483686726"
"-2092","2014-04-10","-777.8811760071076"
"-2085","2014-04-17","-735.3599642776273"
"-2078","2014-04-24","-723.7269892252534"
"-2071","2014-05-01","-679.7156970882336"
"-2064","2014-05-08","-673.1978123092641"
"-2057","2014-05-15","-662.1852437668175"
"-2050","2014-05-22","-608.8299609173536"
"-2043","2014-05-29","-615.4218409380576"
"-2036","2014-06-05","-652.3845173530171"
"-2029","2014-06-12","-697.2692895876307"
"-2022","2014-06-19","-692.7471810068275"
"-2015","2014-06-26","-642.599259844848"
"-2008","2014-07-03","-605.7053626384464"
"-2001","2014-07-10","-581.0313829657599"
"-1994","2014-07-17","-523.6153091330716"
"-1987","2014-07-24","-461.55221263858596"
"-1980","2014-07-31","-329.97840451174113"
"-1973","2014-08-07","-247.05498875628462"
"-1966","2014-08-14","-219.95105093854966"
"-1959","2014-08-21","-187.82672533025027"
"-1952","2014-08-28","-236.81638585871758"
"-1945","2014-09-04","-198.01220440890143"
"-1938","2014-09-11","-149.44831478417416"
"-1931","2014-09-18","-81.08581194165299"
"-1924","2014-09-25","-35.79880409711063"
"-1917","2014-10-02","-14.361720117562527"
"-1910","2014-10-09","-5.43805650505908"
"-1903","2014-10-16","7.429272515508046"
"-1896","2014-10-23","-7.174158541583552"
"-1889","2014-10-30","67.47176145053106"
"-1882","2014-11-06","111.22578126214773"
"-1875","2014-11-13","27.087381413481125"
"-1868","2014-11-20","-151.8031696726614"
"-1861","2014-11-27","-295.1667989896291"
"-1854","2014-12-04","-284.58962371066355"
