"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-9575","1993-10-14","1993W41","164.82163858652916"
"-9568","1993-10-21","1993W42","104.19553968493574"
"-9561","1993-10-28","1993W43","129.31099428615357"
"-9554","1993-11-04","1993W44","107.27959891075591"
"-9547","1993-11-11","1993W45","144.21512505496412"
"-9540","1993-11-18","1993W46","159.23187191309796"
"-9533","1993-11-25","1993W47","104.443010753144"
"-9526","1993-12-02","1993W48","251.95894492713944"
"-9519","1993-12-09","1993W49","333.8857092818266"
"-9512","1993-12-16","1993W50","394.32343217434743"
"-9505","1993-12-23","1993W51","456.36488240062806"
"-9498","1993-12-30","1993W52","394.09412212351197"
"-9491","1994-01-06","1994W01","299.58528536096696"
"-9484","1994-01-13","1994W02","223.90149978404963"
"-9477","1994-01-20","1994W03","122.09396750566259"
"-9470","1994-01-27","1994W04","48.20121824451542"
"-9463","1994-02-03","1994W05","154.24854575711333"
"-9456","1994-02-10","1994W06","67.24763578020941"
"-9449","1994-02-17","1994W07","89.1963909551938"
"-9442","1994-02-24","1994W08","53.078955354497566"
"-9435","1994-03-03","1994W09","49.86593833952088"
"-9428","1994-03-10","1994W10","36.51483459172289"
"-9421","1994-03-17","1994W11","23.9706343151513"
"-9414","1994-03-24","1994W12","68.16661485110387"
"-9407","1994-03-31","1994W13","16.025302313709517"
"-9400","1994-04-07","1994W14","-3.540410612729602"
"-9393","1994-04-14","1994W15","33.373993157960626"
"-9386","1994-04-21","1994W16","76.6660348169213"
"-9379","1994-04-28","1994W17","142.22772129853377"
"-9372","1994-05-05","1994W18","9.947107432386247"
"-9365","1994-05-12","1994W19","122.70991601199614"
"-9358","1994-05-19","1994W20","66.40119233469102"
"-9351","1994-05-26","1994W21","51.906969257709875"
"-9344","1994-06-02","1994W22","105.11591865312516"
"-9337","1994-06-09","1994W23","107.92096533094536"
"-9330","1994-06-16","1994W24","148.22084003341342"
"-9323","1994-06-23","1994W25","171.92154897624698"
"-9316","1994-06-30","1994W26","103.93773861207717"
"-9309","1994-07-07","1994W27","198.19393580019494"
"-9302","1994-07-14","1994W28","293.62564536339414"
"-9295","1994-07-21","1994W29","137.18028907110897"
"-9288","1994-07-28","1994W30","195.81797237858882"
"-9281","1994-08-04","1994W31","177.5120677414087"
"-9274","1994-08-11","1994W32","120.24960597718666"
"-9267","1994-08-18","1994W33","61.03146992364498"
"-9260","1994-08-25","1994W34","34.87238750389099"
"-9253","1994-09-01","1994W35","53.80072421459488"
"-9246","1994-09-08","1994W36","131.85807795856329"
"-9239","1994-09-15","1994W37","119.0986820079097"
"-9232","1994-09-22","1994W38","133.5886246661189"
"-9225","1994-09-29","1994W39","115.40489685645503"
"-9218","1994-10-06","1994W40","141.63428136173832"
"-9211","1994-10-13","1994W41","181.37209974038535"
"-9204","1994-10-20","1994W42","23.72083501219413"
